,index,datetime,values
165,165,2009-01-17 20:30:00,22
166,166,2009-01-18 20:30:00,9
167,167,2009-01-19 20:30:00,9
168,168,2009-01-16 21:00:00,22
169,169,2009-01-17 21:00:00,22
170,170,2009-01-18 21:00:00,9
171,171,2009-01-19 21:00:00,9
172,172,2009-01-16 21:30:00,21
173,173,2009-01-17 21:30:00,22
174,174,2009-01-18 21:30:00,9
175,175,2009-01-19 21:30:00,9
176,176,2009-01-16 22:00:00,20
177,177,2009-01-17 22:00:00,22
178,178,2009-01-18 22:00:00,9
179,179,2009-01-19 22:00:00,9
180,180,2009-01-16 22:30:00,20
181,181,2009-01-17 22:30:00,22
182,182,2009-01-18 22:30:00,9
183,183,2009-01-19 22:30:00,9
184,184,2009-01-16 23:00:00,14
185,185,2009-01-17 23:00:00,18
186,186,2009-01-18 23:00:00,9
187,187,2009-01-19 23:00:00,9
188,188,2009-01-16 23:30:00,9
189,189,2009-01-17 23:30:00,10
190,190,2009-01-18 23:30:00,9
191,191,2009-01-19 23:30:00,9
