,Date,variable,value
174,1/18/2009,9:30 PM,9
175,1/19/2009,9:30 PM,9
176,1/16/2009,10:00 PM,20
177,1/17/2009,10:00 PM,22
178,1/18/2009,10:00 PM,9
179,1/19/2009,10:00 PM,9
180,1/16/2009,10:30 PM,20
181,1/17/2009,10:30 PM,22
182,1/18/2009,10:30 PM,9
183,1/19/2009,10:30 PM,9
184,1/16/2009,11:00 PM,14
185,1/17/2009,11:00 PM,18
186,1/18/2009,11:00 PM,9
187,1/19/2009,11:00 PM,9
188,1/16/2009,11:30 PM,9
189,1/17/2009,11:30 PM,10
190,1/18/2009,11:30 PM,9
191,1/19/2009,11:30 PM,9
