,,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,0:00
,,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,20.5,21.0,21.5,22.0,22.5,23.0,23.5,24.0
Date,12:00 AM,12:30 AM,1:00 AM,1:30 AM,2:00 AM,2:30 AM,3:00 AM,3:30 AM,4:00 AM,4:30 AM,5:00 AM,5:30 AM,6:00 AM,6:30 AM,7:00 AM,7:30 AM,8:00 AM,8:30 AM,9:00 AM,9:30 AM,10:00 AM,10:30 AM,11:00 AM,11:30 AM,12:00 PM,12:30 PM,1:00 PM,1:30 PM,2:00 PM,2:30 PM,3:00 PM,3:30 PM,4:00 PM,4:30 PM,5:00 PM,5:30 PM,6:00 PM,6:30 PM,7:00 PM,7:30 PM,8:00 PM,8:30 PM,9:00 PM,9:30 PM,10:00 PM,10:30 PM,11:00 PM,11:30 PM,
9/14/2009,12,12,12,12,11,12,11,12,12,11,11,12,10,12,11,28,35,34,37,37,39,38,43,40,42,39,42,40,41,38,44,43,44,46,44,47,45,42,42,42,41,40,38,26,21,16,14,14,
9/15/2009,14,14,14,14,13,13,13,13,13,13,13,13,12,12,13,25,39,34,33,39,40,39,39,42,43,43,43,40,41,42,44,43,43,43,43,44,46,43,42,41,44,41,35,24,24,18,15,15,
9/16/2009,16,15,15,14,15,15,15,15,14,14,14,14,14,14,14,32,40,40,36,36,38,40,39,39,38,38,36,38,38,39,41,40,39,42,45,41,40,36,36,39,39,40,32,22,21,16,14,14,
9/17/2009,14,13,13,13,13,13,13,13,13,12,12,14,13,12,13,18,32,36,35,36,33,33,34,35,35,33,30,33,30,32,34,33,33,34,35,35,36,34,35,34,34,33,28,13,13,13,13,13,
9/18/2009,13,12,13,13,13,13,13,11,13,12,12,11,12,13,12,20,30,31,30,33,37,36,37,36,36,37,35,37,35,36,37,38,38,37,38,41,43,42,41,38,39,35,37,29,21,18,16,13,
9/19/2009,13,12,13,13,13,12,13,12,13,12,12,12,12,11,12,12,15,10,18,25,28,33,33,34,36,37,37,37,38,38,37,38,36,38,41,37,39,36,37,30,30,31,29,28,26,24,18,12,
9/20/2009,12,12,12,12,12,12,12,11,11,12,11,12,11,11,11,11,11,9,9,13,13,11,14,15,15,15,21,25,28,28,30,30,30,32,28,19,17,16,16,15,15,15,14,15,14,12,12,11,
9/21/2009,12,12,12,11,12,11,11,11,11,12,11,11,12,11,11,23,27,28,33,36,40,38,40,39,39,44,40,40,41,42,44,43,41,44,43,45,42,43,41,38,38,36,27,20,19,15,15,15,
9/22/2009,15,14,14,14,14,14,14,14,13,14,13,12,13,12,13,22,32,32,32,31,37,42,47,44,47,47,45,46,45,42,43,44,44,46,44,39,40,43,40,42,37,38,29,22,22,16,14,15,
9/23/2009,14,14,14,13,14,14,14,14,13,13,13,13,13,14,13,22,39,36,37,39,43,42,42,41,43,46,42,44,42,46,46,45,46,49,46,49,46,47,45,47,45,42,38,26,23,20,16,16,
9/24/2009,16,16,16,15,18,18,17,17,17,17,17,15,15,15,16,28,40,42,38,41,47,49,48,47,47,47,45,47,43,50,49,49,48,50,48,51,49,44,42,45,42,42,34,25,22,18,15,16,
9/25/2009,16,15,15,15,15,15,15,15,15,15,14,14,14,14,14,27,41,38,36,37,39,37,40,35,37,35,35,36,38,39,41,40,36,37,40,40,41,37,37,35,35,32,30,27,27,25,22,14,
9/26/2009,13,14,14,13,13,14,12,14,12,12,12,13,12,12,12,14,15,21,28,29,30,28,30,31,32,32,31,30,28,29,28,28,27,30,29,30,27,27,27,27,25,25,24,26,26,25,22,12,
9/27/2009,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,9,11,11,12,11,12,12,11,10,20,24,28,28,29,32,27,29,31,21,16,17,16,15,15,12,15,15,14,13,12,12,
9/28/2009,12,12,12,11,11,12,12,11,11,12,11,11,11,11,11,21,25,25,30,32,33,34,36,38,36,37,38,34,37,39,40,39,40,40,41,37,37,36,34,33,30,31,28,16,16,14,13,12,
9/29/2009,12,12,12,12,12,12,12,12,12,12,11,11,12,11,11,14,28,26,26,27,30,33,33,31,34,33,32,31,33,32,35,36,36,37,36,39,39,39,37,34,34,36,30,21,21,19,18,16,
9/30/2009,14,14,14,14,14,14,14,13,14,14,13,13,13,13,14,21,28,28,28,30,32,32,32,33,36,38,35,35,35,34,36,38,37,40,39,36,36,37,36,38,34,31,25,14,14,14,14,13,
10/1/2009,13,13,13,13,12,13,12,13,12,12,12,12,12,12,12,19,22,26,28,31,31,32,32,30,30,32,29,30,29,29,33,32,30,31,32,32,34,32,31,33,33,29,24,13,14,13,13,12,
10/2/2009,13,13,12,13,12,13,12,13,12,12,13,12,12,12,12,13,24,27,26,27,28,28,30,30,30,31,31,32,32,33,37,33,34,33,35,38,40,36,34,32,31,30,30,29,29,27,21,15,
10/3/2009,15,15,15,14,15,14,15,14,14,14,14,14,14,14,14,17,19,15,17,28,30,33,34,35,35,37,36,37,35,36,37,37,36,38,38,37,37,34,35,30,29,31,29,26,24,24,20,14,
10/4/2009,14,13,13,13,13,13,13,13,13,13,13,13,12,13,12,12,12,10,9,11,10,14,12,13,13,13,15,27,27,28,28,28,23,30,31,20,16,16,16,15,16,13,13,13,13,13,13,13,
10/5/2009,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,24,24,24,29,32,33,32,32,32,33,35,32,31,31,36,35,32,32,36,38,36,37,37,36,32,28,27,25,14,13,13,13,13,
10/6/2009,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,22,27,28,31,31,29,29,28,28,30,28,28,31,29,33,35,33,35,33,35,36,35,34,32,32,31,29,17,15,12,12,11,
10/7/2009,12,12,11,11,12,11,11,11,12,11,11,11,11,11,11,22,27,26,28,33,34,35,34,31,34,35,31,30,29,30,37,36,32,34,32,32,37,37,34,31,30,30,25,12,11,11,12,12,
10/8/2009,12,11,11,11,11,11,11,11,12,11,12,11,11,11,11,17,27,24,26,30,31,32,31,32,31,34,32,31,32,33,35,34,33,35,36,36,34,30,29,31,28,28,24,14,14,11,11,11,
10/9/2009,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,15,21,27,30,32,31,32,35,33,35,38,37,39,35,38,38,40,38,43,42,43,40,39,41,39,38,39,36,32,27,25,18,13,
10/10/2009,13,13,12,12,12,13,12,12,12,12,12,12,12,12,11,18,20,14,16,28,35,35,35,35,35,35,30,34,33,35,34,34,32,35,35,33,33,28,28,29,28,26,25,22,23,22,15,12,
10/11/2009,10,11,11,11,10,11,11,11,11,10,10,10,11,10,10,10,10,8,7,8,8,9,7,8,8,10,12,20,21,21,23,23,24,25,17,14,14,14,14,13,13,11,11,11,11,11,11,11,
10/12/2009,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,25,24,24,24,25,24,25,24,24,25,24,24,23,24,25,25,23,25,28,28,27,21,19,19,19,19,19,19,19,19,19,19,
10/13/2009,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,24,25,25,26,25,26,26,27,27,29,29,27,29,31,30,33,33,35,35,34,36,35,34,32,29,28,25,11,11,11,11,11,
10/14/2009,11,11,11,11,11,11,11,11,11,11,11,11,11,10,11,22,23,22,23,26,25,25,24,23,23,23,22,21,21,22,24,23,23,26,27,27,28,27,29,29,28,26,23,11,11,11,10,11,
10/15/2009,10,10,10,11,10,10,10,10,10,10,10,10,10,10,10,11,19,24,24,25,25,26,27,26,26,27,25,25,24,25,26,27,24,27,26,26,26,26,26,27,27,26,21,11,10,10,10,11,
10/16/2009,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,23,27,25,26,26,26,26,26,24,25,25,24,23,22,22,24,24,22,25,26,25,24,24,24,25,26,24,23,21,21,21,15,10,
10/17/2009,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,7,18,21,23,23,23,23,24,22,20,20,20,21,21,20,22,22,22,21,20,21,21,21,22,21,21,20,20,20,11,
10/18/2009,9,10,9,10,10,10,10,10,10,10,9,10,9,10,9,10,10,8,7,7,7,7,7,7,7,7,13,20,21,21,21,22,22,23,21,11,10,10,10,10,10,10,10,10,10,10,10,10,
10/19/2009,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,22,24,24,24,25,27,29,28,29,28,26,27,25,24,25,27,26,26,28,25,25,26,26,25,25,24,24,22,11,10,10,10,10,
10/20/2009,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15,25,24,24,25,25,24,26,26,26,27,27,25,25,26,27,28,27,28,28,30,30,26,26,29,28,26,26,12,11,11,10,11,
10/21/2009,11,10,11,11,11,11,11,11,11,11,10,10,11,10,10,18,24,25,27,26,32,28,29,30,31,31,30,29,31,27,31,32,30,35,37,35,37,34,32,30,29,28,21,10,10,10,10,10,
10/22/2009,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,16,26,25,25,26,28,27,28,27,25,29,26,28,26,29,31,30,31,32,34,36,36,35,35,32,30,25,19,14,14,12,10,10,
10/23/2009,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,11,25,24,25,25,27,25,27,27,27,27,25,25,24,24,29,28,29,32,29,30,27,28,28,28,28,30,26,23,23,22,19,11,
10/24/2009,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,13,11,12,22,26,26,26,26,27,27,29,31,29,30,29,28,26,29,30,30,29,29,28,28,28,28,28,28,25,23,16,12,
10/25/2009,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,7,7,8,8,7,8,7,8,9,18,19,19,19,18,21,24,20,13,10,10,9,10,9,9,10,9,10,10,9,9,
10/26/2009,9,9,9,9,10,9,9,9,9,9,9,10,9,9,10,19,25,23,24,27,29,27,26,25,25,27,26,24,23,25,27,26,26,28,28,29,30,28,27,26,24,23,20,10,10,10,10,10,
10/27/2009,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,20,25,26,25,25,25,25,24,24,25,23,23,23,23,24,24,25,30,29,29,26,26,27,28,25,25,21,10,10,10,10,10,
10/28/2009,10,10,10,10,10,10,11,10,10,10,10,10,10,10,10,20,24,23,23,24,24,24,25,24,25,26,27,28,27,28,30,33,29,31,32,32,32,32,32,31,30,28,24,13,13,10,10,10,
10/29/2009,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,12,20,24,24,25,27,26,27,26,26,26,24,24,26,32,32,31,30,29,30,29,28,26,26,26,27,27,22,12,11,11,11,11,
10/30/2009,11,11,11,11,11,11,11,12,11,11,11,11,11,11,11,19,26,25,25,27,26,25,26,25,26,24,23,23,22,24,24,26,25,25,27,30,31,30,28,26,25,24,23,22,22,22,20,10,
10/31/2009,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,23,22,23,26,26,26,28,29,30,30,30,31,30,29,27,26,27,29,30,29,28,27,25,24,24,23,23,22,17,10,
11/1/2009,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,7,7,7,7,7,7,7,7,7,10,19,20,19,19,18,18,20,20,10,10,10,10,10,10,10,10,10,10,10,10,10,
11/2/2009,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,19,24,23,25,25,25,25,25,25,26,26,23,22,22,22,27,28,27,29,30,26,25,26,26,25,26,25,22,11,11,10,11,10,
11/3/2009,11,10,10,10,10,10,10,10,11,11,24,26,26,26,27,27,27,25,25,25,27,25,26,25,28,28,27,28,27,27,30,31,29,32,29,29,28,26,26,25,25,25,22,11,11,10,11,10,
11/4/2009,11,10,10,11,11,10,11,10,11,11,10,10,11,10,15,26,26,25,29,25,28,27,27,25,27,27,26,25,26,27,27,25,25,26,27,26,27,27,28,27,27,27,23,12,11,11,11,11,
11/5/2009,11,10,10,10,11,10,10,10,11,10,10,10,10,10,10,17,26,24,24,25,26,26,27,26,27,26,25,24,24,25,28,26,25,29,28,26,25,24,23,24,24,24,19,10,10,10,10,10,
11/6/2009,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15,25,25,26,25,26,27,27,26,27,27,25,24,22,23,25,25,24,26,26,26,26,24,24,24,24,24,23,23,22,21,13,10,
11/7/2009,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,10,15,20,20,22,23,24,23,24,24,23,22,21,23,24,25,25,24,26,25,24,23,22,22,21,20,21,20,14,10,
11/8/2009,10,10,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,7,7,7,7,7,7,7,7,9,19,20,20,22,23,23,25,21,13,11,10,10,10,10,10,10,10,10,10,10,10,
11/9/2009,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,13,26,25,27,27,30,28,27,27,28,28,26,25,25,26,30,30,29,31,29,31,30,30,28,27,25,16,19,11,11,11,10,10,
11/10/2009,11,11,10,11,10,11,10,11,10,11,10,10,11,10,10,15,26,25,24,24,24,25,25,23,25,28,25,26,28,26,29,30,30,32,31,31,28,26,24,29,29,31,29,15,15,13,12,12,
11/11/2009,12,12,12,12,12,12,12,12,12,12,12,12,12,12,15,20,23,26,25,24,24,24,23,24,25,23,23,23,23,23,22,22,23,27,26,25,26,26,27,28,27,27,21,11,11,11,11,11,
11/12/2009,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,15,27,25,25,24,25,24,25,23,25,25,25,24,25,25,25,24,23,26,26,27,27,27,25,27,26,26,20,11,11,11,11,11,
11/13/2009,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,17,27,25,24,25,25,25,24,23,24,24,24,24,24,24,24,23,22,26,26,26,26,25,25,26,26,27,25,21,21,21,19,12,
11/14/2009,11,11,11,11,11,12,11,11,11,12,11,12,11,11,11,11,11,8,11,21,23,23,24,24,23,22,22,22,22,22,22,21,21,24,24,25,25,22,22,22,22,21,22,21,22,23,21,12,
11/15/2009,12,12,12,12,12,13,12,12,12,12,12,12,12,12,13,12,12,9,8,8,9,9,8,9,9,10,18,20,21,21,24,24,24,26,22,14,13,11,11,11,11,11,11,11,11,11,11,11,
11/16/2009,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,19,26,26,27,25,28,27,28,27,27,28,27,26,27,27,31,31,29,32,32,32,32,31,28,29,30,28,25,11,11,11,11,11,
11/17/2009,11,11,12,11,11,11,11,11,11,11,11,11,11,11,11,15,27,25,24,24,24,27,27,27,27,27,25,25,25,27,28,26,26,29,26,25,26,27,27,27,28,28,24,12,12,12,12,12,
11/18/2009,12,12,12,12,12,12,12,12,12,12,12,12,12,11,12,22,25,23,24,24,25,23,23,23,23,23,22,22,22,23,24,24,24,28,27,27,27,30,29,30,28,29,27,17,12,12,12,12,
11/19/2009,12,12,12,12,12,11,12,11,12,12,12,12,12,12,12,12,26,25,26,27,26,25,25,24,25,25,24,23,24,25,26,29,27,28,27,29,27,26,25,26,26,27,19,13,14,12,12,12,
11/20/2009,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,21,25,26,26,27,27,27,25,26,26,24,25,24,24,26,25,25,28,27,27,27,27,26,27,26,26,25,22,22,22,17,11,
11/21/2009,11,11,12,11,12,11,11,11,11,11,11,11,11,12,12,11,12,8,8,17,23,22,22,23,22,22,22,23,22,22,22,20,20,23,24,24,24,24,23,23,23,23,23,23,23,23,14,12,
11/22/2009,11,11,11,12,11,11,11,11,11,11,11,11,11,11,11,11,11,8,7,7,7,7,7,7,7,7,8,17,18,19,19,19,19,24,20,11,11,11,11,11,11,11,11,11,11,11,11,11,
11/23/2009,11,11,11,11,11,11,11,11,11,11,11,11,11,10,11,21,24,22,23,23,23,23,23,23,24,23,22,21,21,22,24,24,23,26,26,26,25,25,23,23,23,23,20,11,11,11,11,11,
11/24/2009,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,18,25,24,26,26,26,26,25,26,25,24,24,24,25,25,25,24,29,28,28,27,27,28,28,29,28,27,16,14,11,11,11,
11/25/2009,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,22,23,19,19,21,21,20,20,20,19,20,21,21,21,21,21,21,20,24,26,27,27,26,26,26,25,26,22,13,11,11,11,11,
11/26/2009,11,11,11,11,11,11,11,11,11,11,11,11,11,11,15,22,25,23,23,23,23,23,22,23,22,22,21,11,8,8,7,8,7,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,
11/27/2009,11,11,11,11,11,12,11,11,11,11,11,11,11,11,12,11,11,8,12,20,22,22,22,22,22,22,22,22,23,22,22,23,22,25,26,26,24,13,12,12,12,12,12,12,13,13,12,12,
11/28/2009,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,9,9,18,19,20,21,21,20,20,20,20,20,20,21,21,21,23,24,24,23,22,23,22,22,22,23,22,23,22,21,12,
11/29/2009,11,11,12,11,11,11,11,11,11,11,11,12,11,12,11,11,12,9,9,9,8,8,8,8,9,8,12,19,21,20,20,21,20,22,17,11,10,10,10,10,10,11,10,10,10,10,10,10,
11/30/2009,10,10,10,10,10,10,10,10,10,10,10,11,10,10,10,20,23,24,25,24,25,25,24,23,25,24,23,22,22,24,25,23,24,28,27,27,27,27,27,27,27,25,21,11,11,12,11,11,
12/1/2009,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,14,22,26,24,24,24,26,27,27,26,24,23,22,22,25,26,24,25,28,27,27,26,26,27,27,27,27,24,12,11,12,11,11,
12/2/2009,11,11,11,12,12,12,12,11,11,11,11,11,11,11,15,25,25,23,24,23,24,24,24,25,25,25,23,23,25,26,27,26,26,29,29,29,30,30,30,30,30,29,23,12,11,11,11,11,
12/3/2009,11,11,11,11,11,11,11,11,11,12,11,12,11,11,11,12,16,26,26,25,25,27,27,26,27,27,25,22,21,22,24,25,24,30,31,30,28,27,26,26,26,26,24,15,15,11,11,11,
12/4/2009,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,20,24,24,24,25,25,24,25,24,24,23,22,22,23,25,24,24,28,29,28,27,27,27,27,27,27,26,22,21,22,17,11,
12/5/2009,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,17,22,23,25,27,26,26,25,24,23,24,24,24,23,21,24,25,25,25,23,23,23,23,23,22,22,21,21,17,11,
12/6/2009,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,8,8,8,8,8,8,8,8,12,20,21,22,22,22,22,24,24,11,11,11,11,11,11,11,11,11,11,11,11,11,
12/7/2009,11,11,11,11,11,11,11,11,11,11,11,11,11,11,15,23,24,22,23,23,24,24,26,25,26,24,24,23,23,24,25,26,26,29,30,29,29,29,29,30,29,29,25,11,11,11,11,11,
12/8/2009,11,12,11,11,11,11,11,11,11,11,11,11,11,11,11,12,26,25,24,25,25,24,24,24,25,25,26,24,25,26,24,24,23,26,27,27,27,26,27,28,28,25,24,12,11,11,11,11,
12/9/2009,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,18,24,24,25,26,26,25,25,24,24,23,21,21,20,22,24,25,24,27,27,28,27,29,29,29,28,28,24,11,11,11,11,11,
12/10/2009,11,12,12,12,12,11,11,11,11,11,11,11,11,11,11,13,24,26,24,24,24,27,26,26,26,26,23,22,22,23,24,24,24,28,28,28,27,26,26,25,25,25,21,11,11,11,11,11,
12/11/2009,12,12,11,11,11,11,11,12,11,12,11,11,12,11,11,14,21,24,25,24,24,25,25,25,25,24,23,23,23,25,26,24,24,25,25,25,26,25,27,27,26,24,23,22,22,22,21,12,
12/12/2009,12,11,12,11,12,11,11,11,12,11,12,11,11,11,12,11,12,18,22,23,23,24,24,25,25,24,24,22,23,22,20,22,22,25,25,24,24,23,24,23,22,23,22,21,22,22,16,11,
12/13/2009,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,7,7,8,7,7,7,7,7,9,20,21,22,22,22,22,25,21,11,11,11,11,11,11,11,11,11,11,11,11,11,
12/14/2009,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,23,26,24,24,24,25,24,27,27,28,26,25,22,22,23,26,26,25,29,29,28,28,29,28,29,29,28,24,11,11,11,11,11,
12/15/2009,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,20,23,24,23,25,25,25,26,26,25,23,22,23,24,27,26,26,28,29,29,29,28,27,26,26,26,23,11,11,11,12,11,
12/16/2009,11,11,11,11,11,11,11,11,11,11,11,12,12,11,12,22,25,23,23,23,24,24,24,23,23,22,22,22,22,22,25,26,25,27,28,27,28,28,27,27,27,26,22,11,11,11,11,11,
12/17/2009,11,12,12,12,12,11,12,11,12,11,12,11,11,11,11,12,24,25,24,25,25,25,24,24,25,24,23,23,23,23,25,26,24,27,27,28,28,27,27,27,25,24,20,11,11,11,11,11,
12/18/2009,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,14,24,25,24,24,25,25,24,24,24,24,22,22,23,23,25,25,25,28,28,27,27,27,25,23,23,23,22,21,24,24,23,14,
12/19/2009,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,11,11,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,11,12,12,12,12,12,12,12,11,12,12,11,12,12,11,
12/20/2009,12,11,11,11,11,11,12,11,11,11,11,11,12,11,12,12,11,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,8,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,
12/21/2009,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,8,8,8,8,9,9,9,8,9,9,8,8,9,8,8,11,12,12,12,12,12,12,12,11,12,12,12,12,12,11,
12/22/2009,12,11,12,12,12,12,11,11,11,11,12,12,11,12,12,13,13,10,9,9,9,9,9,9,10,9,10,10,10,10,10,9,10,13,13,13,12,11,12,11,12,12,12,11,12,12,11,11,
12/23/2009,11,11,12,11,11,11,11,11,11,11,11,11,12,11,11,11,12,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,11,12,11,12,12,11,11,12,11,12,11,11,11,12,11,
12/24/2009,12,11,11,12,12,11,12,11,11,11,12,11,11,11,12,11,11,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,11,12,11,12,12,11,12,11,11,12,11,12,12,12,11,
12/25/2009,11,12,12,11,12,11,12,12,11,12,12,11,12,11,11,12,12,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,11,12,11,11,11,11,12,11,11,12,11,11,11,11,12,
12/26/2009,12,11,11,12,11,11,11,11,12,12,11,11,11,11,11,12,11,8,8,14,20,21,21,21,21,22,22,22,22,21,21,20,20,24,24,25,25,23,22,22,23,22,22,23,22,21,20,12,
12/27/2009,12,11,11,11,12,11,12,12,11,11,12,11,12,11,11,12,12,8,8,8,8,8,9,11,14,18,20,23,23,24,24,24,23,27,27,16,13,12,11,11,11,11,11,12,11,11,11,11,
12/28/2009,11,12,11,11,12,11,11,11,11,11,11,11,11,11,12,14,17,16,20,20,20,21,20,20,20,21,20,21,21,21,21,21,21,24,25,25,24,23,24,23,23,24,20,11,12,11,11,11,
12/29/2009,11,11,11,11,11,11,11,12,11,11,11,11,11,11,12,15,18,18,18,19,19,20,20,20,20,19,19,19,20,20,22,22,23,24,24,24,24,24,24,25,25,24,21,11,11,11,11,11,
12/30/2009,11,11,11,11,12,11,11,12,12,12,12,11,11,12,11,15,16,13,13,13,13,13,14,13,13,14,21,22,22,21,22,22,22,24,25,25,25,26,26,26,26,26,22,11,11,11,11,11,
12/31/2009,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,22,23,20,19,19,20,20,20,20,20,21,21,21,22,21,21,21,21,22,23,23,17,15,12,11,11,11,11,11,11,11,11,11,
1/1/2010,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,7,7,8,8,7,7,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,
1/2/2010,11,11,11,11,12,11,11,11,11,11,11,11,11,11,12,12,11,8,9,17,20,20,21,21,22,22,23,22,22,21,20,20,20,23,24,24,25,24,23,23,23,22,23,22,21,21,17,11,
1/3/2010,12,11,12,11,12,11,12,12,11,12,12,12,12,12,12,12,12,8,8,8,8,8,8,8,8,8,15,20,20,20,21,20,20,22,19,12,11,11,11,11,11,11,11,11,11,11,12,11,
1/4/2010,12,12,11,11,12,11,12,12,11,11,11,11,11,11,18,24,26,25,24,24,24,24,23,22,23,23,21,20,20,21,22,22,25,28,29,28,28,28,27,28,29,28,23,12,12,12,12,12,
1/5/2010,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,21,25,24,25,25,25,26,25,26,26,24,24,24,25,27,27,27,30,29,29,28,29,29,29,28,27,24,11,12,11,12,12,
1/6/2010,12,11,12,11,12,11,11,12,11,12,11,12,12,12,12,23,24,22,22,23,24,23,23,22,23,23,21,21,22,23,25,25,25,28,28,28,28,30,28,28,29,29,24,11,11,11,12,11,
1/7/2010,12,12,11,11,11,11,11,11,11,11,12,11,12,11,12,15,28,25,25,25,26,27,27,26,26,25,24,22,24,24,27,25,25,29,29,30,30,31,29,28,27,27,21,12,12,11,12,11,
1/8/2010,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,20,23,23,23,24,24,25,25,25,25,25,23,23,23,25,25,25,26,27,26,28,27,26,26,25,25,22,22,22,22,19,11,
1/9/2010,11,11,11,11,11,11,11,12,11,11,11,11,11,11,11,11,11,8,8,20,23,24,24,24,26,25,26,25,24,25,23,22,21,24,25,25,25,22,22,21,22,22,22,22,22,21,15,13,
1/10/2010,11,12,12,12,12,11,11,12,11,11,11,12,12,12,12,11,12,8,8,8,8,8,8,8,8,8,12,17,20,21,21,21,21,24,24,13,11,12,12,12,11,12,11,12,12,12,12,12,
1/11/2010,11,12,12,12,12,12,12,12,12,11,12,12,12,12,12,17,27,27,25,25,25,25,25,25,27,27,26,24,25,25,26,25,26,29,30,30,31,30,31,30,28,29,26,12,12,12,12,12,
1/12/2010,11,12,12,11,12,12,11,12,11,11,11,12,11,12,12,17,24,25,24,25,25,25,26,26,26,25,24,24,24,25,27,27,26,30,31,29,29,29,29,29,28,28,23,12,12,11,12,12,
1/13/2010,11,12,12,12,12,12,11,12,11,12,11,12,11,12,19,24,26,24,24,24,24,25,24,25,27,25,25,24,25,26,26,26,26,28,29,29,28,32,31,29,29,29,23,11,12,12,11,11,
1/14/2010,11,11,11,11,11,11,11,11,12,11,11,11,11,11,12,25,27,24,23,24,24,24,25,27,28,27,26,25,26,26,29,28,27,30,29,31,31,30,30,29,28,28,25,12,12,12,12,12,
1/15/2010,12,11,12,11,11,11,11,11,12,11,11,11,11,11,11,13,27,25,25,26,26,25,25,26,28,28,26,24,25,25,28,27,27,28,29,28,27,29,30,29,28,27,26,24,24,23,16,13,
1/16/2010,12,12,12,12,12,12,12,12,12,11,12,12,11,12,12,11,11,8,8,19,23,23,25,24,24,24,25,25,24,24,24,24,25,26,25,25,26,24,24,23,23,23,23,23,23,23,20,12,
1/17/2010,13,12,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,9,8,8,8,8,8,8,8,8,9,20,21,22,22,23,23,24,22,13,12,12,12,12,12,12,12,11,12,12,11,12,
1/18/2010,12,11,12,12,12,12,12,12,12,11,11,12,12,11,11,11,11,8,9,21,21,21,21,21,22,22,23,22,23,23,23,23,23,28,28,27,26,13,13,13,12,13,12,12,12,12,12,12,
